repo,file,uses_zhaozg_lua_openssl_mac_ctx,uses_update_final,post_final_pattern_found,security_context,external_input_evidence,security_decision_changed,rating,notes
Optum/kong-oidc-auth,src/access.lua,false,false,false,"auth,token,verify,cookie,request,server,login,digest","ngx.req,ngx.var,header,cookie,request,body,client,server,token,authorization,uri,args,post,get",false,low,"uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
apache/apisix,apisix/plugins/jwt-auth/parser.lua,false,false,false,"auth,token,signature,verify,permission,sign,hmac,digest","header,token,jwt,get",false,low,"uses lua-resty-openssl mac, not zhaozg lua-openssl mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
bagua99/xserver,3rd/lua-openssl-master/lib/crypto.lua,false,false,false,"verify,server,sign,hmac,digest","server,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
benoit-pierre/lua-Spore,src/Spore/Middleware/Auth/AWS.lua,false,false,false,"auth,request,server,sign,hmac,digest","header,query,request,server,authorization,params,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
bungle/lua-resty-session,lib/resty/session/utils.lua,false,false,false,"auth,session,cookie,sign,hmac,digest","cookie,post,get",false,low,"uses lua-resty-openssl hmac; uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
bunkerity/bunkerweb,src/deps/src/lua-resty-session/lib/resty/session/utils.lua,false,false,false,"auth,session,cookie,sign,hmac,digest","cookie,post,get",false,low,"uses lua-resty-openssl hmac; uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
contactkc/luairc,client/auth.lua,false,false,false,"auth,verify,login,sign,digest","client,uri",false,low,"uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
hisdream86/nginx-sqs-proxy,lua/aws_auth.lua,false,false,false,"auth,token,session,signature,verify,request,role,sign,hmac,digest","header,query,request,body,token,authorization,uri,params,get",false,noise,no target mac.ctx evidence
jest9/cookie-mangle-haproxy,mangler.lua,false,false,false,"cookie,request,digest","header,cookie,request,get",false,low,"uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
keaSystemIntegration/gift-wishing,haproxy/authorization.lua,false,false,false,"auth,token,signature,verify,request,permission,sign,hmac","header,request,token,jwt,authorization,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
leafo/lapis,lapis/spec/request.lua,false,false,false,"session,cookie,request,server,sign,digest","header,cookie,query,request,body,socket,server,uri,args,params,post,get",false,low,"uses lua-openssl digest associated API, not MAC ctx; test/spec/example/doc path; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
mubix/tools,nmap/nselib/smbauth.lua,false,false,false,"auth,session,signature,request,server,login,sign,hmac","request,body,client,server,uri,args,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence"
nordeck/nginx-jwt-auth,nginx-jwt-auth.lua,false,false,false,"auth,token,signature,verify,request,sign,hmac,digest","ngx.req,ngx.var,header,request,token,jwt,authorization,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; uses lua-openssl digest associated API, not MAC ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
pineapple-pager-projects/pineapple_pager_loki,payloads/user/reconnaissance/loki/share/nmap/nselib/smbauth.lua,false,false,false,"auth,session,signature,request,server,login,sign,hmac","request,body,client,server,uri,args,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence"
riskprofiler/CloudFrontier,analyzers/submit/nmap-dir/nselib/smbauth.lua,false,false,false,"auth,session,signature,request,server,login,sign,hmac","request,body,client,server,uri,args,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence"
semyon422/aqua,web/framework/Sessions.lua,false,false,false,"token,session,signature,cookie,request,sign,hmac","header,cookie,request,token,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
tux-mind/platform_external_nmap,nselib/smbauth.lua,false,false,false,"auth,session,signature,request,server,login,sign,hmac","request,body,client,server,uri,args,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence"
woodsts/cgit,filters/file-authentication.lua,false,false,false,"auth,cookie,login,hmac","header,cookie,query,body,post,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
woodsts/cgit,filters/gentoo-ldap-authentication.lua,false,false,false,"auth,cookie,login,hmac","header,cookie,query,body,uri,post,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
woodsts/cgit,filters/simple-authentication.lua,false,false,false,"auth,cookie,login,hmac","header,cookie,query,body,post,get",false,low,"uses lua-openssl hmac associated API, not CMAC mac.ctx; no target mac.ctx evidence; final/update pattern exists only outside target mac.ctx"
