issue_number,artifact_class,source_artifact_class,poc_origin,poc_type,quality,component,trigger_behavior,affected_version,local_compile,local_run,strict_reproduction,input_status,missing_original_input,local_test_result,tested_library,title,source_url,translated_from_cli,generated_c_api_path,expected_input_file,artifact_dir,has_poc_c,has_run_sh,has_run_log,has_valgrind_log,validation_notes
19524,C_rag_seed_to_c_candidate,C_rag_seed,generated_from_rag_seed,C_API,HQ,PKEY/ED25519/ED448,NULL_DEREFERENCE_CRASH,"openssl3.0.2, openssl 1.1.1r",,,False,no_external_input_required,,,,ED25519_sign and ED448_sign missing check for private_key leading to segfault,https://github.com/openssl/openssl/issues/19524,,EVP_PKEY_new_raw_public_key;EVP_MD_CTX_new;EVP_DigestSignInit;EVP_DigestSign;EVP_MD_CTX_free;EVP_PKEY_free,,data/openssl/poc_artifacts/issue_19524,True,True,True,True,
21935,C_rag_seed_to_c_candidate,C_rag_seed,generated_from_rag_seed,C_API+STACKTRACE,HQ,PKEY/RSA,NULL_DEREFERENCE_CRASH,openssl-SNAP-20230831,,,False,no_external_input_required,,,,RSA 1.1.1 API broken in openssl-SNAP-20230831,https://github.com/openssl/openssl/issues/21935,,EVP_PKEY_new;RSA_new;BN_new;RSA_set0_key;EVP_PKEY_assign_RSA;EVP_MD_CTX_new;EVP_DigestSignInit;EVP_MD_CTX_free;EVP_PKEY_free,,data/openssl/poc_artifacts/issue_21935,True,True,True,True,
22388,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,CMS/X509,WRONG_RESULT,3.0.8,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,Support X25519 and X448 in CMS,https://github.com/openssl/openssl/issues/22388,openssl cms -encrypt -stream -binary -keyid -outform DER -recip cert.pem -in hello.txt -out hello.der,PEM_read_bio_X509;PEM_read_bio_PrivateKey;BIO_new_file;CMS_encrypt;CMS_decrypt,inputs/cert.pem;inputs/key.pem;inputs/hello.txt,data/openssl/poc_artifacts/issue_22388,True,True,True,True,"The generated C harness was translated from a CLI PoC candidate and compiled/executed using placeholder local inputs. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts or environment have not been recovered."
22842,C_rag_seed_to_c_candidate,C_rag_seed,generated_from_rag_seed,C_API,HQ,EVP/MAC,NULL_DEREFERENCE_CRASH,3.1.1,,,False,no_external_input_required,,,,SIGSEGV from EVP_MAC_CTX_get_mac_size(),https://github.com/openssl/openssl/issues/22842,,EVP_MAC_fetch;EVP_MAC_CTX_new;EVP_MAC_init;EVP_MAC_CTX_get_mac_size;EVP_MAC_CTX_free;EVP_MAC_free,,data/openssl/poc_artifacts/issue_22842,True,True,True,True,
23325,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,X509/CRL,WRONG_RESULT,,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_crl_validation_inputs,OpenSSL 3.0.13 / system libssl-libcrypto,X509: wrongly rejects cert without CDP if CRL contains IDP with name matching cert issuer,https://github.com/openssl/openssl/issues/23325,openssl verify -trusted cacert.pem -crl_check -CRLfile crl.pem cert.pem,PEM_read_bio_X509;PEM_read_bio_X509_CRL;X509_STORE_new;X509_STORE_add_cert;X509_STORE_add_crl;X509_STORE_set_flags;X509_STORE_CTX_new;X509_STORE_CTX_init;X509_verify_cert,inputs/cacert.pem;inputs/crl.pem;inputs/cert.pem,data/openssl/poc_artifacts/issue_23325,True,True,True,True,"The generated C harness was translated from an OpenSSL verify command using CRL checking. It compiled and executed with generated placeholder CA, end-entity certificate, and CRL inputs. Valgrind reported 0 errors. This validates the X509_STORE CRL verification API path, but does not strictly reproduce the original issue because the original CA/CRL/certificate inputs have not been recovered."
26106,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,INPUT_SEED+CLI+SANITIZER_LOG,HQ,PKCS12/X509_ALGOR,NULL_DEREFERENCE_CRASH,"3.4, 3.5.0-dev",True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,Segmentation fault in X509_ALGOR_get0 during PKCS#12 processing ,https://github.com/openssl/openssl/issues/26106,openssl pkcs12 -in X509_ALGOR_get0_testpassword.pk12 -passin pass:testpassword,fopen;d2i_PKCS12_fp;PKCS12_parse;PKCS12_free,inputs/test.p12,data/openssl/poc_artifacts/issue_26106,True,True,True,True,"PKCS12 parse harness compiled and executed with generated PKCS#12 placeholder input. Valgrind reported 0 errors. This validates the generated C harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts have not been recovered."
2630,A_ast_ready,,,C_API,HQ,BIO/SECURE_HEAP,SEGV,,True,True,False,no_external_input_required_or_embedded,,compiled_and_executed_no_valgrind_error,OpenSSL 3.0.13 / system libssl-libcrypto,Secure heap impl.: segmentation fault in sh_add_to_list for small allocations,https://github.com/openssl/openssl/issues/2630,,,,data/openssl/poc_artifacts/issue_2630,True,True,True,True,"The extracted C PoC compiled and executed successfully against system OpenSSL 3.0.13. Valgrind reported 0 errors. This validates local harness execution, but strict reproduction requires the original affected version."
27572,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HQ,CMP/ASN1,WRONG_OUTPUT,3.3.3,True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl cmp -cmd cr corrupts UTF-8 subject names,https://github.com/openssl/openssl/issues/27572,openssl asn1parse -inform DER -in req.der,BIO_new_file;BIO_read;ASN1_parse_dump,inputs/req.der,data/openssl/poc_artifacts/issue_27572,True,True,True,True,The generated C harness was translated from the original CLI command and compiled/executed using a placeholder local input. This validates the harness structure but does not strictly reproduce the original issue because the original PoC input artifact has not been recovered.
28669,A_ast_ready,,,C_API+STACKTRACE,,CRYPTO/MEM_SEC,NULL_DEREFERENCE_CRASH,,True,False,False,,,segmentation_fault_and_valgrind_invalid_read,OpenSSL 3.0.13 / libcrypto.so.3,NULL rwlock dereference in CRYPTO_secure_used when secure heap is not initialized,https://github.com/openssl/openssl/issues/28669,,,,data/openssl/poc_artifacts/issue_28669,True,True,True,True,"Compiled successfully against system OpenSSL 3.0.13. Normal execution triggered SIGSEGV with exit code 139. Valgrind reported Invalid read of size 4 and ERROR SUMMARY: 1 errors from 1 contexts. This is local artifact validation, not strict reproduction against the original affected version."
29418,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HQ,X509/X509V3/ASN1,WRONG_RESULT,3.0.13,True,True,False,placeholder_input_used,True,compiled_and_executed_with_non_buggy_sample_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl x509 -purpose produces inconsistent results depending on parsing options,https://github.com/openssl/openssl/issues/29418,openssl x509 -in servercert.pem -noout -purpose,BIO_new_file;PEM_read_bio_X509;X509_check_purpose,inputs/servercert.pem,data/openssl/poc_artifacts/issue_29418,True,True,True,True,The generated C harness was translated from the original CLI command and compiled/executed using a placeholder local input. This validates the harness structure but does not strictly reproduce the original issue because the original PoC input artifact has not been recovered.
29574,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,C_API+CLI+INPUT_SEED,HIGH_CANDIDATE,X509/X509V3/ASN1,CORRUPTED_STATE,,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,"Loading ""short"" certificate is accepted but corrupts openssl",https://github.com/openssl/openssl/issues/29574,openssl x509 -noout -text -in cert.disk,BIO_new_file;PEM_read_bio_X509;d2i_X509_bio;X509_print_fp;X509_free,inputs/cert.disk,data/openssl/poc_artifacts/issue_29574,True,True,True,True,"The generated C harness was translated from a CLI PoC candidate and compiled/executed using placeholder local inputs. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts or environment have not been recovered."
29645,C_rag_seed_to_c_candidate,C_rag_seed,generated_from_rag_seed,C_API+SANITIZER_LOG,HQ,BIO/CONF/ERR,NULL_DEREFERENCE_CRASH,3.5.4,,,False,no_external_input_required,,,,BIO_set_data() causes crash,https://github.com/openssl/openssl/issues/29645,,BIO_new;BIO_s_mem;BIO_set_data;BIO_get_data;BIO_free,,data/openssl/poc_artifacts/issue_29645,True,True,True,True,
30291,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,CMS/ED448,REGRESSION_TEST,"3.5, 3.6",True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,CMS regression: signed attributes with ED448,https://github.com/openssl/openssl/issues/30291,openssl cms -sign -signer cert.pem -inkey key.pem -in text.txt -out out.cms -md shake256; openssl cms -verify -in out.cms -CAfile cert.pem -content text.txt,PEM_read_bio_X509;PEM_read_bio_PrivateKey;BIO_new_file;CMS_sign;CMS_verify;CMS_ContentInfo_free,inputs/cert.pem;inputs/key.pem;inputs/text.txt,data/openssl/poc_artifacts/issue_30291,True,True,True,True,"CMS sign/verify harness compiled and executed with generated certificate/key/text placeholder inputs. Valgrind reported 0 errors. This validates the generated C harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts have not been recovered."
30432,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,PKEY/DSA/RSA,VERIFY_ERROR,"3.0.15, 3.5.4",True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,dsa_with_SHA384 and dsa_with_SHA512 verify error,https://github.com/openssl/openssl/issues/30432,openssl verify -CAfile ca_cert.pem ee_cert.pem,PEM_read_bio_X509;X509_STORE_new;X509_STORE_add_cert;X509_STORE_CTX_new;X509_STORE_CTX_init;X509_verify_cert,inputs/ca_cert.pem;inputs/ee_cert.pem,data/openssl/poc_artifacts/issue_30432,True,True,True,True,"DSA certificate-chain verification harness compiled and executed with generated DSA CA/end-entity certificate placeholder inputs. Valgrind reported 0 errors. This validates the generated C harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts have not been recovered."
30581,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED+CLI+SANITIZER_LOG,HIGH_CANDIDATE,PKCS12/ASN1,NULL_DEREFERENCE_CRASH,OpenSSL 4.1.0-dev,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,NULL pointer dereference in openssl pkcs12 -info when printing PBMAC1 salt metadata,https://github.com/openssl/openssl/issues/30581,openssl pkcs12 -in test.p12 -info -noout -passin pass:testpassword,fopen;d2i_PKCS12_fp;PKCS12_mac_present;PKCS12_verify_mac;PKCS12_parse;PKCS12_free,inputs/test.p12,data/openssl/poc_artifacts/issue_30581,True,True,True,True,"The generated C harness was translated from a CLI PoC candidate and compiled/executed using placeholder local inputs. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts or environment have not been recovered."
30889,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI,HQ,PKEY/ML-DSA/RSA,SEGV,4.0.0,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,Segfault in 'openssl pkey' for interactive encryption (v4.0.0),https://github.com/openssl/openssl/issues/30889,openssl pkey -in plain.pem -aes-256-cbc -out enc.pem,PEM_read_bio_PrivateKey;PEM_write_bio_PrivateKey;EVP_PKEY_free,inputs/plain.pem,data/openssl/poc_artifacts/issue_30889,True,True,True,True,"The generated C harness was translated from a CLI PoC candidate and compiled/executed using placeholder local inputs. This validates the harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts or environment have not been recovered."
6788,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,CRL/X509,WRONG_RESULT,,True,True,False,placeholder_input_used,True,compiled_and_executed_with_placeholder_input,OpenSSL 3.0.13 / system libssl-libcrypto,openssl crl does not work properly if -CAfile contains multiple CA certs with the same subject,https://github.com/openssl/openssl/issues/6788,openssl crl -in crl.pem -noout -issuer,BIO_new_file;PEM_read_bio_X509_CRL;X509_CRL_get_issuer;X509_NAME_print_ex_fp;X509_CRL_free,inputs/crl.pem,data/openssl/poc_artifacts/issue_6788,True,True,True,True,"CRL parse harness compiled and executed with generated CRL placeholder input. Valgrind reported 0 errors. This validates the generated C harness structure and API path, but does not strictly reproduce the original issue because the original PoC input artifacts have not been recovered."
8435,B2_cli_to_c_candidate,B_cli_artifact,translated_from_cli_command,CLI+INPUT_SEED,HIGH_CANDIDATE,PKEY/ECC/SM2,WRONG_RESULT,,True,True,False,placeholder_input_used,True,compiled_and_executed_with_generated_sm2_key,OpenSSL 3.0.13 / system libssl-libcrypto,SM2 private key cannot produce valid signatures,https://github.com/openssl/openssl/issues/8435,openssl pkey -in sm2_bad.key -pubout; openssl pkeyutl -inkey sm2_bad.key -rawin -sign -pkeyopt sm2_id:Alice; openssl pkeyutl -pubin -rawin -verify -pkeyopt sm2_id:Alice,PEM_read_bio_PrivateKey;PEM_write_bio_PUBKEY;EVP_DigestSignInit;EVP_PKEY_CTX_set1_id;EVP_DigestSign;EVP_DigestVerifyInit;EVP_DigestVerify,inputs/sm2_bad.key;inputs/message.txt,data/openssl/poc_artifacts/issue_8435,True,True,True,True,"The generated C harness was translated from the original CLI commands involving `openssl pkey` and `openssl pkeyutl` with SM2 id Alice. It compiled and executed using a generated SM2 key and placeholder message. This validates the PKEY/SM2 sign/verify API path, but does not strictly reproduce the original issue because the original sm2_bad.key input has not been recovered."
8980,A_ast_ready,,extracted_c_code_from_issue_evidence,C_API,HIGH_CANDIDATE,EVP/AES_GCM,NULL_DEREFERENCE_CRASH,1.0.2,True,True,False,no_external_input_required,,compiled_and_executed_with_local_openssl,OpenSSL 3.0.13 / system libssl-libcrypto,OpenSSL 1.0.2 branch on uninitialized memory in EVP_CIPHER_CTX_copy,https://github.com/openssl/openssl/issues/8980,,,,data/openssl/poc_artifacts/issue_8980,True,True,False,False,The C PoC was extracted from issue evidence and compiled/executed locally. This validates the local harness structure. Strict reproduction requires testing against the original affected OpenSSL version listed in metadata.
9043,C_rag_seed_to_c_candidate,C_rag_seed,generated_from_rag_seed,INPUT_SEED,HQ,X509/CSR/ASN1,NULL_DEREFERENCE_CRASH,1.1.1b,,,False,missing_original_input,,,,NULL pointer dereference in CSR text output code,https://github.com/openssl/openssl/issues/9043,,BIO_new_file;PEM_read_bio_X509_REQ;X509_REQ_print_fp;X509_REQ_free,inputs/req.pem,data/openssl/poc_artifacts/issue_9043,True,True,True,True,
